GUIA DE CAPTURA DE PRODUCTOS PARA TIENDA O CATÁLOGO,,,,,,,,,,,,,,,,
CODIGO,CODIGO BARRAS,NOMBRE,DESCRPCIÓN CORTA,DESCRIPCIÓN LARGA,CATEGORÍA,SUBCATEGORÍA,SUB-SUBCATEGORIA,MARCA/FABRICANTE,PESO GRS,DESCUENTO %,INVENTARIO,IMAGEN,PRECIO,PRECIO MAYOREO,COLORES,DESTACADO
66619,78257666195,BOMBA ELECTRICA CHICA,BOMBA ELECTRICA CHICA,,ACCESORIOS,BOMBAS,,INTEX,200,,,66619.PNG,264,220,,
68608,78257686087,BOMBA ELECTRICA MEDIANA,BOMBA ELECTRICA MEDIANA,,ACCESORIOS,BOMBAS,,INTEX,250,,,68608.PNG,1020,850,,
69613,78257696130,BOMBA MANUAL,BOMBA MANUAL TAMAÑO CHICO,"11.5"" (29cm)",ACCESORIOS,BOMBAS,,INTEX,100,,,69613.PNG,12,10,,
XD11-J007,58758007,ALBERCA BAÑERA ,"ALBERCA BAÑERA INFLABLE PARA BEBE, PISO ACOLCHONADO","34""x10"" (86cm x 25cm)",INFLABLES,ALBERCAS,BAÑERAS PARA BEBE,SUNRISE,500,,,J007.PNG,90,75,,
XD11-J026,58753026,ALBERCA BAÑERA,"ALBERCA BAÑERA INFLABLE PARA BEBE, PISO ACOLCHONADO","34""x10"" (86cm x 25cm)",INFLABLES,ALBERCAS,BAÑERAS PARA BEBE,SUNRISE,500,,,J026.PNG,90,75,,
58660,,CHALECO PARA NIÑO,CHALECO INFLABLE PARA NIÑO,,INFLABLES,SALVAVIDAS,CHALECOS INFLABLES,INTEX,250,,,58660.PNG,48,40,,
58671,,CHALECO PARA NIÑO,CHALECO INFLABLE PARA NIÑO,,INFLABLES,SALVAVIDAS,CHALECOS INFLABLES,INTEX,250,,,58671.PNG,48,40,AMARILLO,
44008,6942138903607,COLCHONETA COLORES,COLCHONETA INFLABLE COLORES VARIOS,,INFLABLES,"COLCHONES, COLCHONETAS Y SILLONES",COLCHONETAS INFLABLES,BESTWAY,600,,,44008.PNG,48,40,,
59703,78257597031,COLCHONETA LISA,COLCHONETA INFLABLE LISA,"72""x27"" (1.83m x 69cm)",INFLABLES,"COLCHONES, COLCHONETAS Y SILLONES",COLCHONETAS INFLABLES,INTEX,600,,,59703.PNG,39.6,33,,
59711,78257597116,COLCHONETA ESTAMPADA,COLCHONETA INFLABLE CON ESTAMPADO,"72""x27"" (1.83m x 69cm)",INFLABLES,"COLCHONES, COLCHONETAS Y SILLONES",COLCHONETAS INFLABLES,INTEX,600,,,59711.PNG,50.4,42,,
59717,,COLCHONETA NEON,COLCHONETA INFLABLE NEON,"72""x30"" (1.83m x 76cm)",INFLABLES,"COLCHONES, COLCHONETAS Y SILLONES",COLCHONETAS INFLABLES,INTEX,600,,,59717.PNG,61.2,51,,
